article_id,published,title,url,feed_label,ProjectNumber,EWS Project Name,EWS hyperlink,Matched
f08d78,2/26/18,"AIIB approves $60 million for Bangladesh power plant, considering investing $885m more",https://bdnews24.com/economy/2018/02/27/aiib-approves-60-million-for-bangladesh-power-plant-considering-investing-885m-more,NEWS AIIB - All Streams,AIIB-000015,Bangladesh: Natural Gas Infrastructure and Efficiency Improvement Project (AIIB-000015),https://ewsdata.rightsindevelopment.org/projects/000015-bangladesh-natural-gas-infrastructure-and-efficie/,1
21bcdf5b,2/26/18,"AIIB approves $285 million of loans to Bangladesh for power, energy",https://www.reuters.com/article/bangladesh-aiib-investment/aiib-approves-285-million-of-loans-to-bangladesh-for-power-energy-idUSL4N1QG448,NEWS AIIB - All Streams,"AIIB-000015, AIIB-0003, AIIB-00057",Natural Gas Infrastructure and Efficiency Improvement Project (AIIB-000015); Distribution System Upgrade and Expansion Project (AIIB-0003); Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/000015-bangladesh-natural-gas-infrastructure-and-efficie/; https://ewsdata.rightsindevelopment.org/projects/0003-bangladesh-distribution-system-upgrade-and-expans/; https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
cb7b1ba,2/26/18,"AIIB approves $285 million of loans to Bangladesh for power, energy",https://in.reuters.com/article/bangladesh-aiib-investment/aiib-approves-285-million-of-loans-to-bangladesh-for-power-energy-idINKCN1GA1DB,NEWS AIIB - All Streams,"AIIB-000015, AIIB-0003, AIIB-00057",Natural Gas Infrastructure and Efficiency Improvement Project (AIIB-000015); Distribution System Upgrade and Expansion Project (AIIB-0003); Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/000015-bangladesh-natural-gas-infrastructure-and-efficie/; https://ewsdata.rightsindevelopment.org/projects/0003-bangladesh-distribution-system-upgrade-and-expans/; https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
d71af9e4,2/27/18,"AIIB approves $285m of loans to Bangladesh for power, energy",http://en.prothomalo.com/economy/news/171731/AIIB-approves-285m-of-loans-to-Bangladesh-for,NEWS AIIB - All Streams,"AIIB-000015, AIIB-0003, AIIB-00057",Natural Gas Infrastructure and Efficiency Improvement Project (AIIB-000015); Distribution System Upgrade and Expansion Project (AIIB-0003); Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/000015-bangladesh-natural-gas-infrastructure-and-efficie/; https://ewsdata.rightsindevelopment.org/projects/0003-bangladesh-distribution-system-upgrade-and-expans/; https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
ed93f7da,2/26/18,AIIB approves $285m in loans to Bangladesh for power projects,https://www.dealstreetasia.com/stories/aiib-approves-285m-of-loans-to-bangladesh-for-power-energy-93146/,NEWS AIIB - All Streams,"AIIB-000015, AIIB-0003, AIIB-00057",Natural Gas Infrastructure and Efficiency Improvement Project (AIIB-000015); Distribution System Upgrade and Expansion Project (AIIB-0003); Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/000015-bangladesh-natural-gas-infrastructure-and-efficie/; https://ewsdata.rightsindevelopment.org/projects/0003-bangladesh-distribution-system-upgrade-and-expans/; https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
def9e94e,6/3/18,"Andhra land acquisition law passed under World Bank ""direction"" to build capital Amravati, as land pooling system fails",https://www.counterview.net/2018/06/andhra-land-acquisition-law-passed.html,NEWS AIIB - All Streams,AIIB-000019,Amaravati Sustainable Capital City Development Project,https://ewsdata.rightsindevelopment.org/projects/000019-india-amaravati-sustainable-capital-city-developm/,1
b37f386d,4/12/18,AIIB to invest $140mn to perk up rural roads in Madhya Pradesh,http://www.uniindia.com/~/aiib-to-invest-140mn-to-perk-up-rural-roads-in-madhya-pradesh/Business%20Economy/news/1197761.html,NEWS AIIB - All Streams,AIIB-000020,India: Madhya Pradesh Rural Connectivity Project (AIIB-000020),https://ewsdata.rightsindevelopment.org/projects/000020-india-madhya-pradesh-rural-connectivity-project/,1
7d30b559,4/12/18,AIIB grants $140 mn loan to improve Madhya Pradesh's rural roads,https://www.thehindubusinessline.com/news/national/aiib-grants-140-mn-loan-to-improve-madhya-pradeshs-rural-roads/article23514007.ece,NEWS AIIB - All Streams,AIIB-000020,India: Madhya Pradesh Rural Connectivity Project (AIIB-000020),https://ewsdata.rightsindevelopment.org/projects/000020-india-madhya-pradesh-rural-connectivity-project/,1
53b2c218,2/21/18,"With Port Project, Georgia Seeks Place on China's Belt and Road",https://eurasianet.org/s/with-port-project-georgia-seeks-place-on-chinas-belt-and-road,NEWS AIIB - All Streams,AIIB-000021,Batumi Bypass Road Project,https://ewsdata.rightsindevelopment.org/projects/000021-georgia-batumi-bypass-road-project/,1
9917d30a,1/9/18,"Metro Manila flood control project may start in Jan, gov't says",http://news.abs-cbn.com/business/01/09/18/metro-manila-flood-control-project-may-start-in-jan-govt-says,NEWS AIIB - All Streams,AIIB-000023,Philippines: Metro Manila Flood Management Project (AIIB-000023),https://ewsdata.rightsindevelopment.org/projects/000023-philippines-metro-manila-flood-management-project/,1
8d7610c9,2/21/18,"BMRCL may tweak packages, tunnel length on Dairy Circle-Nagawara route",https://timesofindia.indiatimes.com/city/bengaluru/bmrcl-may-tweak-packages-tunnel-length-on-dairy-circle-nagawara-route/articleshow/63020183.cms,NEWS AIIB - All Streams,AIIB-000038,Bangalore Metro Rail Project - Line R6,https://ewsdata.rightsindevelopment.org/projects/000038-india-bangalore-metro-rail-project-line-r6/,1
e447cff1,1/16/18,European investment bank & BMRCL sign project pact on funding metro phase 2 line,https://timesofindia.indiatimes.com/business/india-business/european-investment-bank-bmrcl-sign-project-pact-on-funding-metro-phase-2-line/articleshow/62529794.cms,NEWS AIIB - All Streams,AIIB-000038,Bangalore Metro Rail Project - Line R6,https://ewsdata.rightsindevelopment.org/projects/000038-india-bangalore-metro-rail-project-line-r6/,1
328b7a21,2/20/18,"10 towns in Krishna, Guntur to get new water schemes",https://timesofindia.indiatimes.com/city/visakhapatnam/10-towns-in-krishna-guntur-to-get-new-water-schemes/articleshow/63004649.cms,NEWS AIIB - All Streams,AIIB-000079,Andhra Pradesh Urban Water Supply and Septage Management Improvement Project,https://ewsdata.rightsindevelopment.org/projects/AIIB-000079/,1
9b695369,5/8/18,Andhra Pradesh government accords sanction for water supply project,http://www.newindianexpress.com/cities/vijayawada/2018/may/09/andhra-pradesh-government-accords-sanction-for-water-supply-project-1812268.html,NEWS AIIB - All Streams,AIIB-000079,Andhra Pradesh Urban Water Supply and Septage Management Improvement Project,https://ewsdata.rightsindevelopment.org/projects/AIIB-000079/,1
67ebc632,2/26/18,"AIIB approves $285 million of loans to Bangladesh for power, energy",https://in.reuters.com/article/bangladesh-aiib-investment/aiib-approves-285-million-of-loans-to-bangladesh-for-power-energy-idINKCN1GA1DB,NEWS AIIB - All Streams,"AIIB-0003, AIIB-000015, AIIB-00057",,"https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/, https://ewsdata.rightsindevelopment.org/projects/0003-bangladesh-distribution-system-upgrade-and-expans/, https://ewsdata.rightsindevelopment.org/projects/000015-bangladesh-natural-gas-infrastructure-and-efficie/",1
8eba7336,3/6/18,AIIB approves loan to Bangladesh Independent Power Project,https://www.theasset.com/belt-road-online/34203/aiib-approves-loan-to-bangladesh-independent-power-project,NEWS AIIB - All Streams,AIIB-00057,Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
1d0142a4,2/26/18,AIIB approves 60 mln USD loan for Bangladesh power project,http://www.xinhuanet.com/english/2018-02/27/c_137001645.htm,NEWS AIIB - All Streams,AIIB-00057,Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
11a35f15,2/26/18,AIIB approves $60mn loan for Bangladesh power project,http://www.thedailystar.net/country/asian-infrastructure-investment-bank-aiib-approves-60mn-loan-for-bangladesh-power-project-1540462,NEWS AIIB - All Streams,AIIB-00057,Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
961f2ed8,2/28/18,AIIB approves loan for Bangladesh Bhola IPP energy project,http://www.power-technology.com/news/aiib-approves-loan-bangladesh-bhola-ipp-energy-project/,NEWS AIIB - All Streams,AIIB-00057,Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
93f42c74,2/26/18,AIIB approves 60 mln USD loan for Bangladesh power project,http://www.xinhuanet.com/english/2018-02/27/c_137001645.htm,NEWS AIIB - All Streams,AIIB-00057,Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
9a7b41a2,2/28/18,AIIB approves $60m for 220MW plant in Bhola,https://energybangla.com/aiib-approves-60m-for-220mw-plant-in-bhola/,NEWS AIIB - All Streams,AIIB-00057,Bangladesh Bhola IPP (AIIB-00057),https://ewsdata.rightsindevelopment.org/projects/00057-bangladesh-bhola-ipp/,1
86d7fa70,1/5/18,US$100m for Beitbridge border rehabilitation,https://www.theindependent.co.zw/2018/01/05/us100m-beitbridge-border-rehabilitation/,NEWS AFDB- All Streams,,,,0
fd6ca411,1/19/18,AfDB Funds USD 101 Million Angola Projects,https://www.ooskanews.com/story/2018/01/afdb-funds-usd-101-million-angola-projects_175534,NEWS AFDB- All Streams,,,,0
82edb610,3/14/18,AfDB extends $25m loan facility to private sector,http://www.chronicle.co.zw/afdb-extends-25m-loan-facility-to-private-sector/,NEWS AFDB- All Streams,,,,0
98cae838,2/6/18,"Gov't secures $20m AfDB cash to construct link road, facilitate 2nd 'Adomi Bridge'",https://www.ghanaweb.com/GhanaHomePage/business/Gov-t-secures-20m-AfDB-cash-to-construct-link-road-facilitate-2nd-Adomi-Bridge-623910,NEWS AFDB- All Streams,,,,0
cd0ebdc7,1/12/18,Plem construction of Polytechnic College annex taking shape: Funded by AfDB,https://www.nyasatimes.com/plem-construction-polytechnic-college-annex-taking-shape-funded-afdb/,NEWS AFDB- All Streams,,,,0
5ac77e66,2/2/18,EBRD Board of Directors Unanimously Approves Nenskra HPP Project Financing,http://georgiatoday.ge/news/8990/EBRD-Board-of-Directors-Unanimously-Approves-Nenskra-HPP-Project-Financing,NEWS EBRD - All streams,EBRD-46778,Nenskra HPP (EBRD-46778),https://ewsdata.rightsindevelopment.org/projects/46778-nenskra-hpp/,1
11e77947,4/26/18,EBRD declares effective 218 mln euro loan for Albania's KESH restructuring,https://seenews.com/news/ebrd-declares-effective-218-mln-euro-loan-for-albanias-kesh-restructuring-610398,NEWS EBRD - All streams,EBRD-48132,KESH Restructuring Project (EBRD-48132),https://ewsdata.rightsindevelopment.org/projects/47282-001-energy-supply-improvement-investment-program/,1
8beead9b,5/9/18,"EBRD, partners extend funds for 30-MW solar project in Mongolia",https://renewablesnow.com/news/ebrd-partners-extend-funds-for-30-mw-solar-project-in-mongolia-611850/,NEWS EBRD - All streams,EBRD-48576,Desert Solar Power Project (EBRD-48576),https://ewsdata.rightsindevelopment.org/projects/48576-desert-solar-power-project/,1
a0aeaf74,1/4/18,Asiamoney best bank awards 2017: Mongolia,https://www.euromoney.com/article/b16bqhwq7ncydn/asiamoney-best-bank-awards-2017-mongolia,NEWS EBRD - All streams,EBRD-49078,XacBank MSME-loan 2017,https://ewsdata.rightsindevelopment.org/projects/49078-xacbank-msme-loan-2017/,1
723c5fd0,3/29/18,EBRD loans Turkish agricultural firm $48M for expansion,https://aa.com.tr/en/economy/ebrd-loans-turkish-agricultural-firm-48m-for-expansion/1103005,NEWS EBRD - All streams,EBRD-49188,Tiryaki Agro Trading (EBRD-49188),https://ewsdata.rightsindevelopment.org/projects/49188-tiryaki-agro-trading/,1
187e6ca7,3/29/18,EBRD loans $48M to Turkey's leading agricultural firm Tirkyaki Agro,https://www.dailysabah.com/economy/2018/03/29/ebrd-loans-48m-to-turkeys-leading-agricultural-firm-tirkyaki-agro,NEWS EBRD - All streams,EBRD-49188,Tiryaki Agro Trading (EBRD-49188),https://ewsdata.rightsindevelopment.org/projects/49188-tiryaki-agro-trading/,1
c12c6253,2/9/18,EBRD finances 45MW wind farm in Jordan,https://www.txfnews.com/Ticker/Redirect/b4b57bf8-2645-47b1-b233-22d2c48be002?ShowSmallPage=True,NEWS EBRD - All streams,EBRD-49222,Shobak Wind Farm (EBRD-49222),https://ewsdata.rightsindevelopment.org/projects/49222-shobak-wind-farm/,1
4bbe39d3,5/30/18,EBRD makes its largest ever equity investment in the tourism sector buying into D Marinas,http://www.intellinews.com/ebrd-makes-its-largest-ever-equity-investment-in-the-tourism-sector-buying-into-d-marinas-142449/,NEWS EBRD - All streams,EBRD-49556,D-Marin International,https://ewsdata.rightsindevelopment.org/projects/49556-d-marin-international/,1
3171005d,1/5/18,EBRD provides â‚¬28 million to rehabilitate Georgia's Enguri HPP,http://agenda.ge/news/93377/eng,NEWS EBRD - All streams,EBRD-49649,Enguri HPP Climate Resilience Upgrade,https://ewsdata.rightsindevelopment.org/projects/49649-enguri-hpp-climate-resilience-upgrade/,1
92066ec1,1/28/18,Egypt signs agreement to receive last $500M tranche of AFDB loan,https://www.egypttoday.com/Article/3/41268/Egypt-signs-agreement-to-receive-last-500M-tranche-of-AFDB,NEWS AFDB- All Streams,,,,0
ef56fb55,2/7/18,EIB approves $1.8bn financing for Trans-Adriatic Pipeline,http://transportandstorage.energy-business-review.com/news/eib-approves-18bn-financing-for-trans-adriatic-pipeline-070218-6048793,NEWS EIB - All streams,EIB-20140596,Trans-Adriatic Pipeline,https://ewsdata.rightsindevelopment.org/projects/20140596-trans-adriatic-pipeline/,1
14c44722,1/23/18,Centum affiliate firm to get Sh19.5bn for geothermal plant,https://www.businessdailyafrica.com/corporate/companies/Centum-affiliate-firm-to-get-Sh19-5bn-for-geothermal-plant/4003102-4275348-qxk6rz/,NEWS EIB - All streams,EIB-20140645,AKIIRA I GEOTHERMAL POWER PLANT,https://ewsdata.rightsindevelopment.org/projects/20140645-akiira-i-geothermal-power-plant/,1
b2f5fc11,2/6/18,EIB approves 1.5 billion euro loan to TAP gas pipeline,https://uk.reuters.com/article/uk-eu-energy/eib-approves-15-billion-euro-loan-to-tap-gas-pipeline-idUKKBN1FQ2DA,NEWS EIB - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
7d39b84d,2/7/18,EIB approves Eur1.5 bil TAP natural gas link loan after 'enhanced' corruption probe,https://www.platts.com/latest-news/natural-gas/London/EIB-approves-Eur15-bil-TAP-natural-gas-link-loan-26887329,NEWS EIB - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
b9bd7ce0,2/6/18,EIB gives TAP 1.5 bn loan (3),http://www.ansa.it/english/news/politics/2018/02/06/eib-gives-tap-1.5-bn-loan-3_b9911386-eaad-4c9c-9fb7-50380d74baae.html,NEWS EIB - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
bbfb53e9,2/6/18,EIB approves 1.5 billion euro loan for TAP gas pipeline,https://uk.reuters.com/article/uk-eu-energy/eib-approves-15-billion-euro-loan-for-tap-gas-pipeline-idUKKBN1FQ2DA,NEWS EIB - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
874e2620,2/7/18,EIB Approves â‚¬1.5bn TAP Loan,https://www.naturalgasworld.com/eib-approves-1.5bn-tap-loan-58725,NEWS EIB - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
57de6b56,3/19/18,EIB reveals details of loan for TANAP (Exclusive),https://en.trend.az/business/energy/2875583.html,NEWS EIB - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
8dfda546,3/1/18,ADB Pledges To Finance TAP Project,https://www.tolonews.com/afghanistan/adb-pledges-finance-tap-project,NEWS ADB - All Streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
ebf9ade8,2/20/18,TAP gas pipeline to get 1.2 bln euros in loans from EBRD in 2018,https://www.reuters.com/article/azerbaijan-ebrd/tap-gas-pipeline-to-get-12-bln-euros-in-loans-from-ebrd-in-2018-idUSL8N1Q94PG,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
ffb6e18a,2/20/18,TAP gas pipeline to get 1.2 bln euros in loans from EBRD in 2018,http://www.kitco.com/news/2018-02-20/TAP-gas-pipeline-to-get-1-2-bln-euros-in-loans-from-EBRD-in-2018.html,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
966769ac,3/1/18,ADB Pledges To Finance TAP Project,https://www.tolonews.com/index.php/afghanistan/adb-pledges-finance-tap-project,NEWS ADB - All Streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
dd374c54,2/20/18,EBRD to allocate 1.2B euros for TAP in 2018,https://www.azernews.az/oil_and_gas/127499.html,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
c417b692,1/17/18,EBRD announces time of discussing TAP loan (Exclusive),https://en.trend.az/business/energy/2848591.html,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
3b6d3235,2/20/18,TAP gas pipeline to get 1.2 bln euros in loans from EBRD in 2018,https://af.reuters.com/article/commoditiesNews/idAFL8N1Q94PG,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
16482ff0,2/20/18,TAP Gas Pipeline To Get 1.2B Euros In Loans From EBRD In 2018,https://www.rigzone.com/news/wire/tap_gas_pipeline_to_get_12b_euros_in_loans_from_ebrd_in_2018-20-feb-2018-153592-article/,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
a8a842c4,2/20/18,EBRD to allocate 1.2B euros for TAP in 2018,https://en.trend.az/business/energy/2863230.html,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
53a92bf8,2/20/18,TAP gas pipeline to get 1.2 bln euros in loans from EBRD in 2018,https://www.reuters.com/article/azerbaijan-ebrd/tap-gas-pipeline-to-get-1-2-bln-euros-in-loans-from-ebrd-in-2018-idUSL8N1Q94PG,NEWS EBRD - All streams,EIB-20150676,TANAP TRANS-ANATOLIAN NATURAL GAS PIPELINE (EIB-20150676),https://ewsdata.rightsindevelopment.org/projects/20150676-tanap-trans-anatolian-natural-gas-pipeline/,1
b1310eb5,2/1/18,EIB to lend 130 mln euro for Serbia's Nis-Dimitrovgrad railway overhaul,https://seenews.com/news/eib-to-lend-130-mln-euro-for-serbias-nis-dimitrovgrad-railway-overhaul-600282,NEWS EIB - All streams,EIB-20160341,RAILWAY NIS-DIMITROVGRAD (EIB-20160341),https://ewsdata.rightsindevelopment.org/projects/20160341-railway-nis-dimitrovgrad/,1
af79244f,1/12/18,Bulgarian EU Presidency begins with EIB loan of 100M euro under Juncker Plan for agri-pharma firm,https://sofiaglobe.com/2018/01/12/bulgarian-eu-presidency-begins-with-eib-loan-of-100m-euro-under-juncker-plan-for-agri-pharma-firm/,NEWS EIB - All streams,EIB-20160727,BIOVET PESHTERA (EIB-20160727),https://ewsdata.rightsindevelopment.org/projects/20160727-biovet-peshtera/,1
ef0ef031,1/16/18,BMRCL signs project agreement with EIB,https://www.nyoooz.com/news/bengaluru/1010438/bmrcl-signs-project-agreement-with-eib/,NEWS EIB - All streams,EIB-20160816,Bangalore Metro Rail Corporation - LINE R6,https://ewsdata.rightsindevelopment.org/projects/20160816-bangalore-metro-rail-corporation-line-r6/,1
e819156c,3/28/18,EIB pumps $25m into off-grid solar project,http://www.engineeringnews.co.za/article/eib-pumps-25m-into-off-grid-solar-project-2018-03-28,NEWS EIB - All streams,EIB-20161001,OFF-GRID SOLAR ACCELERATION (EIB-20161001),https://ewsdata.rightsindevelopment.org/projects/20161001-off-grid-solar-acceleration/,1
1e153953,3/10/18,"IREDA, EIB ink 150mn-euro loan agreement for renewable energy",https://www.indiatoday.in/pti-feed/story/ireda-eib-ink-150mn-euro-loan-agreement-for-renewable-energy-1186755-2018-03-10,NEWS EIB - All streams,EIB-20170105,IREDA-RENEWABLE ENERGY AND ENERGY EFFICIENCY FL2,https://ewsdata.rightsindevelopment.org/projects/20170105-ireda-renewable-energy-and-energy-efficiency-fl2/,1
62e12c0d,3/30/18,Valmet signs Euro 45 million loan agreement with European Investment Bank,https://www.lesprom.com/en/news/Valmet_signs_Euro_45_million_loan_agreement_with_European_Investment_Bank_82586/,NEWS EIB - All streams,EIB-20170819,VALMET - AUTOMATION RDI (EIB-20170819),https://ewsdata.rightsindevelopment.org/projects/20170819-valmet-automation-rdi/,1
